Game type,tableid,簡中(cn),英文(en),繁中(zh),印尼文(id),泰文(th),越南文(vi),韓文(ko),日文(ja),葡萄牙文
WEA_SLOT,SLOT-WEA_SLOT-TreasureCarp,发财金鲤,TreasureCarp,發財金鯉,TreasureCarp,TreasureCarp,TreasureCarp,TreasureCarp,TreasureCarp,TreasureCarp
WEA_SLOT,SLOT-WEA_SLOT-CountySeat,盗官记,CountySeat,盜官記,CountySeat,CountySeat,CountySeat,CountySeat,CountySeat,CountySeat
WEA_SLOT,SLOT-WEA_SLOT-SleepwalkingSheep,梦游绵羊,SleepwalkingSheep,夢遊綿羊,SleepwalkingSheep,SleepwalkingSheep,SleepwalkingSheep,SleepwalkingSheep,SleepwalkingSheep,SleepwalkingSheep
WEA_SLOT,SLOT-WEA_SLOT-GhostFestival,鬼门开,GhostFestival,鬼門開,GhostFestival,GhostFestival,GhostFestival,GhostFestival,GhostFestival,GhostFestival
WEA_SLOT,SLOT-WEA_SLOT-DemonFox,百变妖狐,DemonFox,百變妖狐,DemonFox,DemonFox,DemonFox,DemonFox,DemonFox,DemonFox
WEA_SLOT,SLOT-WEA_SLOT-SuperEnergy,超级能源,SuperEnergy,超級能源,SuperEnergy,SuperEnergy,SuperEnergy,SuperEnergy,SuperEnergy,SuperEnergy
WEA_SLOT,SLOT-WEA_SLOT-CthulhuSecret,克苏鲁秘密,CthulhuSecret,克蘇魯秘密,CthulhuSecret,CthulhuSecret,CthulhuSecret,CthulhuSecret,CthulhuSecret,CthulhuSecret
WEA_SLOT,SLOT-WEA_SLOT-FightingGirls,格斗女孩,FightingGirls,格鬥女孩,FightingGirls,FightingGirls,FightingGirls,FightingGirls,FightingGirls,FightingGirls
WEA_SLOT,SLOT-WEA_SLOT-LuckyGem,招财宝石 巨路发,LuckyGemFusionReels,招財寶石 巨路發,LuckyGemFusionReels,LuckyGemFusionReels,LuckyGemFusionReels,LuckyGemFusionReels,LuckyGemFusionReels,LuckyGemFusionReels
WEA_SLOT,SLOT-WEA_SLOT-SuperDragonTiger,超级龙虎斗,SuperDragonTiger,超級龍虎鬥,SuperDragonTiger,SuperDragonTiger,SuperDragonTiger,SuperDragonTiger,SuperDragonTiger,SuperDragonTiger
WEA_SLOT,SLOT-WEA_SLOT-ChineseFeast,满汉全席,ChineseFeast,滿漢全席,ChineseFeast,ChineseFeast,ChineseFeast,ChineseFeast,ChineseFeast,ChineseFeast
WEA_SLOT,SLOT-WEA_SLOT-DetectiveDee,狄仁杰,DetectiveDee,狄仁傑,DetectiveDee,DetectiveDee,DetectiveDee,DetectiveDee,DetectiveDee,DetectiveDee
WEA_SLOT,SLOT-WEA_SLOT-BountyHunter,赏金猎人,BountyHunter,賞金獵人,BountyHunter,BountyHunter,BountyHunter,BountyHunter,BountyHunter,BountyHunter
WEA_SLOT,SLOT-WEA_SLOT-DragonTurtle,龙龟,DragonTurtle,龍龜,DragonTurtle,DragonTurtle,DragonTurtle,DragonTurtle,DragonTurtle,DragonTurtle
WEA_SLOT,SLOT-WEA_SLOT-ChinesePastry,宝味斋,ChinesePastry,寶味齋,ChinesePastry,ChinesePastry,ChinesePastry,ChinesePastry,ChinesePastry,ChinesePastry
WEA_SLOT,SLOT-WEA_SLOT-CrazyWomensJail,狂爆女子监狱,CrazyWomen'sJail,狂爆女子監獄,CrazyWomen'sJail,CrazyWomen'sJail,CrazyWomen'sJail,CrazyWomen'sJail,CrazyWomen'sJail,CrazyWomen'sJail
WEA_SLOT,SLOT-WEA_SLOT-LegendOfAthena,女神雅典娜,LegendofAthena,女神雅典娜,LegendofAthena,LegendofAthena,LegendofAthena,LegendofAthena,LegendofAthena,LegendofAthena
WEA_SLOT,SLOT-WEA_SLOT-MagicQueen,魔术女王,MagicQueen,魔術女王,MagicQueen,MagicQueen,MagicQueen,MagicQueen,MagicQueen,MagicQueen
